Samples	C10	C11	C14	C15	C16	C18	C19	C20	C21	C22	C23	C24	HF01	HF02	HF03	HF04	HF05	HF06	HF07	HF08	HF09	HF12	HF13	HF17
Factors	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Control	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure	Group:Heart failure
5-Aminopentanoate	138.1000	208.7000	48.7000	147.4000	36	190.9000	74.8000	73.7000	12.1000	39.1000	20.6000	297.6000	232.1000	469.2000	22.8000	18.2000	224.4000	122.9000	369.3000	202.7000	33.6000	11	32.2000	
Acetate	3781	8567.6000	1756.7000	1925.6000	4130	3307.2000	2036.9000	2330.9000	619	842.9000	849.2000	4779.8000	5534.4000	14386.1000	1967.4000	1769.6000	3156.7000	2462.4000	11955.4000	8881.7000	3265.4000	2291	383.1000	4721.5000
Acetoin	19.5000	37.1000	13.2000	5.2000	37.4000	11	5	11.8000	4.7000	8.8000	7.7000	42.1000	16.5000	89.4000	3.3000	11.8000	8.8000	12.4000	16.2000	106.2000	577	18.7000	0.6000	29.7000
Acetone	12.7000	11.8000	18.7000	6.6000	15.7000	14.3000	34.9000	11.8000	27	9.9000	10.2000	15.4000	20.6000	66.8000	29.4000	13.8000	20.9000	51.7000	7.2000	12.4000	9.4000	12.9000	32.7000	18.7000
Alanine	23.1000	38	10.2000	5.5000	36.3000	8	6.6000	9.1000	12.7000	9.1000	17.3000	44	36.3000	84.4000	21.5000	26.4000	33.3000	10.7000	94.6000	20.1000	55.6000	15.1000	30.8000	26.7000
Butyrate	64.6000	118.8000	12.9000	58.6000	9.6000	85.5000	26.7000	33	8	18.2000	6.1000	41.3000	53.4000	95.4000	26.1000	12.9000	84.7000	28.1000	115.8000	102.6000	3.6000	8.8000	2.2000	
Choline	6.9000	7.7000	3.3000	2.5000	11.6000	4.7000	1.9000	2.5000	2.2000	2.2000	1.9000	22.3000	7.4000	25	8.8000	6.6000	8.8000	3	14.3000	13.2000	11.8000	4.1000	4.7000	36.9000
Citrate	35.2000	11	47	65.7000	46.8000	53.1000	34.7000	42.9000	40.4000	50.6000	72.1000	29.2000	12.7000	29.4000	67.1000	47.3000	58	57.8000	34.9000	14	71.2000	13.8000	25	204.1000
Creatine	18.2000	14	10.7000	7.7000	30	11.6000	8.8000	9.6000	12.4000	6.6000	13.8000	59.4000	4.7000	22.8000	17.6000	16.8000	15.7000	21.2000	26.7000	24.2000	36.6000	10.7000	35.8000	25.9000
Creatinine			8		5.5000	6.9000	4.4000	4.7000		1.9000					14.6000		9.1000	5.2000	63	6.9000	27		13.2000	9.6000
Dimethylamine	3.9000	4.1000	3.6000	3.9000	7.2000	3	4.1000	4.7000	1.4000	2.5000	2.8000	13.5000	3.9000	11.6000	10.7000	8.5000	9.4000	3.6000	7.4000	6.3000	32.7000	1.9000	12.4000	14.6000
Dimethyl sulfone	17.3000	6.9000	16.8000	10.2000	23.9000	17.9000	22.8000	11.6000	394.1000	9.6000	20.4000	17.3000	9.1000	25.9000	34.1000	23.7000	10.2000	21.5000	53.9000	8.5000	18.2000	16.8000	23.7000	4.1000
Ethanol	54.7000	74.3000	23.7000	16.5000	25.3000	24.8000	15.7000	19.5000	10.2000	15.4000	14.3000	26.4000	72.9000	78.1000	13.5000	21.2000	23.4000	69.6000	193.6000	47	39.3000	28.9000	13.8000	25.3000
Ethanolamine	46.5000	89.9000	16.8000	11.6000	130.6000		13.8000	20.1000	4.7000	12.1000	40.2000	57.8000	47.9000	106.2000	16.5000	31.4000	71.2000	30.8000	77.8000	207.1000	30.5000	30	29.7000	
Formate	530.2000	13.5000	207.6000	349	1614.8000	241.5000	149.6000	153.7000	54.7000	115.5000	143	214.2000	118.3000	231.3000	30.3000	702.1000	172.4000	285.7000	3189.5000	167.8000	535.2000	29.7000	25.9000	13.2000
Fucose	60	57.2000	28.6000		31.6000	11.3000	22.6000	34.4000	10.7000	16.8000		69.3000	79.5000	89.4000	69.3000	32.2000	81.1000	23.9000	33.3000	45.9000	33.3000	12.7000	17.1000	
Fumarate					2.5000						3							2.5000			5.8000		3	
Galactose	57.2000							61.1000				115.5000		93.5000										
Glucose	75.4000		29.7000	33.6000	112.5000	34.4000	19.5000	56.4000	46.5000	196.1000	124.3000	92.7000		38.2000	101.2000	192	119.4000	131.2000	325.6000		1152		105.6000	43.7000
Glycine	118.5000	94.9000	37.1000	31.1000	96.3000	91.9000	37.7000	34.1000	20.9000	28.6000	36.6000	303.1000	97.6000	492.8000	66	58.3000	82	45.9000	162.3000	92.4000	218.9000	35.8000	60.5000	122.7000
Histidine	30.3000	22.8000	10.7000	41	47		8	18.4000	15.4000		25.6000	49	17.9000	138.1000	37.4000	28.1000	24.2000	19.8000	71.5000	46.5000	81.1000	31.9000	13.8000	76.2000
Hypoxanthine					18.2000														31.1000					
Isoleucine		6.6000			5.8000							13.2000	11.3000	19.5000			6.6000		8	9.4000	9.6000			37.4000
Isopropanol	8.5000	3.6000	4.4000	3.6000	4.7000	5.5000	7.7000	6.1000	4.1000	3	3.6000	4.7000	8	12.4000	5.2000	10.7000	10.7000	7.4000	23.7000	6.9000	9.1000	8.5000	5.8000	5.2000
Isovalerate		13.8000					5.8000						17.1000	11						7.2000				3.6000
Lactate	455.1000	61.9000	245.6000	152.9000	471.4000	128.4000	101.5000	396.8000	206.3000	341.8000	360	694.1000	48.1000	141.4000	212.3000	271.7000	263.7000	693.8000	1591.2000	397.7000	6357.7000	202.1000	517.3000	13.2000
Leucine		15.7000		11.8000	13.2000		6.1000					23.4000	31.4000	25			9.6000		30.5000	12.4000	12.7000		8.5000	33
Maltose			20.9000		45.1000	17.9000		34.7000	23.7000	87.7000	46.2000							108.4000			584.1000		57.5000	
Methanol	68.2000	59.4000	97.4000	59.4000	99.6000	72.9000	68.5000	86.1000	81.4000	83.9000	59.1000	69.6000	96.8000	108.4000	72.6000	82	83.6000	60.5000	96.8000	86.4000	84.7000	64.1000	61.3000	79.2000
